	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Abrothallus_acetabuli	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus acetabuli
Abrothallus_boomii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus boomii
Abrothallus_eriodermae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus eriodermae
Abrothallus_granulatae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus granulatae
Abrothallus_nephromatis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus nephromatis
Abrothallus_secedens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus secedens
Abrothallus_welwitschii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Abrothallales	Abrothallaceae	Abrothallus	Abrothallus welwitschii
Absidia_blakesleeana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	Lichtheimia blakesleeana
Absidia_caerulea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia caerulea
Absidia_californica	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia californica
Absidia_corymbifera	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	Lichtheimia corymbifera
Absidia_glauca	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia glauca
Absidia_hyalospora	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	Lichtheimia hyalospora
Absidia_idahoensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia idahoensis
Absidia_macrospora	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia macrospora
Absidia_panacisoli	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia panacisoli
Absidia_psychrophilia	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia psychrophilia
Absidia_repens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Absidia repens
Acanthohelicospora_aurea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Tubeufiales	Tubeufiaceae	Acanthohelicospora	Acanthohelicospora aurea
Acanthonitschkea_tristis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Coronophorales	Nitschkiaceae	Acanthonitschkea	Acanthonitschkea tristis
Acanthophysellum_cerussatum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Corticiales	Corticiaceae	Acanthophysellum	Acanthophysellum cerussatum
Acaromyces_ingoldii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	Acaromyces ingoldii
Acarosporina_microspora	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Lecanoromycetes	Ostropales	Stictidaceae	Acarosporina	Acarosporina microspora
Acaulium_acremonium	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	Microascaceae	Acaulium	Acaulium acremonium
Acervus_epispartius	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Acervus	Acervus epispartius
Acervus_heilongjiangensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Acervus	Acervus heilongjiangensis
Achaetomium_globosum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae	Achaetomium	Achaetomium globosum
Achaetomium_strumarium	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae	Achaetomium	Achaetomium strumarium
Aciculoconidium_aculeatum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Aciculoconidium	Aciculoconidium aculeatum
Aciculosporium_take	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Aciculosporium	Aciculosporium take
Acremonium_alcalophilum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Incertae Sedis	Acremonium	Acremonium_alcalophilum
Acremonium_antarcticum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Incertae Sedis	Acremonium	Acremonium antarcticum
Acremonium_brunnescens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Brunneomyces	Brunneomyces brunnescens
Acremonium_hyalinulum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Incertae Sedis	Acremonium	Acremonium hyalinulum
Acremonium_sclerotigenum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Incertae Sedis	Acremonium	Acremonium sclerotigenum
Acremonium_stromaticum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Musidium	Musidium stromaticum
Acremonium_thermophilum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Incertae Sedis	Acremonium	Acremonium thermophilum
Acrocalymma_walkeri	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	Acrocalymma_walkeri
Acrocordia_subglobosa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Monoblastiales	Monoblastiaceae	Acrocordia	Acrocordia subglobosa
Acrogenospora_carmichaeliana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Minutisphaerales	Acrogenosporaceae	Acrogenospora	Acrogenospora carmichaeliana
Acrostalagmus_luteoalbus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Acrostalagmus	Acrostalagmus luteoalbus
Actinomucor_elegans	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Fungi incertae sedis	Mucoromycota	Mucoromycotina	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor	Actinomucor elegans
Acuminatispora_palmarum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Incertae Sedis	Acuminatispora	Acuminatispora palmarum
Afroboletus_aff.	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Afroboletus	Afroboletus aff.
Afroboletus_luteolus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Afroboletus	Afroboletus luteolus
Afroboletus_multijugus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Afroboletus	Afroboletus multijugus
Afrocastellanoa_ivoryana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Boletaceae	Afrocastellanoa	Afrocastellanoa ivoryana
Agaricus_abruptibulbus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus abruptibulbus
Agaricus_aff.	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_aff.
Agaricus_albosquamosus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus albosquamosus
Agaricus_amoenomyces	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus amoenomyces
Agaricus_arrillagarum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus arrillagarum
Agaricus_augustus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus augustus
Agaricus_bernardiiformis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bernardiiformis
Agaricus_biberi	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus biberi
Agaricus_bisporus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
Agaricus_brunneogracilis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_brunneogracilis
Agaricus_brunneopileatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_brunneopileatus
Agaricus_callacii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_callacii
Agaricus_campestris	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_campestris
Agaricus_candidolutescens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_candidolutescens
Agaricus_cf.	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_cf.
Agaricus_comtulus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_comtulus
Agaricus_coniferarum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_coniferarum
Agaricus_cupressicola	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_cupressicola
Agaricus_daliensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_daliensis
Agaricus_desjardinii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_desjardinii
Agaricus_dilutibrunneus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_dilutibrunneus
Agaricus_diminutivus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_diminutivus
Agaricus_dolichopus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_dolichopus
Agaricus_dulcidulus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_dulcidulus
Agaricus_edmondoi	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_edmondoi
Agaricus_erectosquamosus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_erectosquamosus
Agaricus_essettei	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_essettei
Agaricus_flavidodiscus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_flavidodiscus
Agaricus_flocculosipes	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_flocculosipes
Agaricus_friesianus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_friesianus
Agaricus_gemlii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_gemlii
Agaricus_gemloides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_gemloides
Agaricus_gennadii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_gennadii
Agaricus_grandiomyces	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_grandiomyces
Agaricus_gregariomyces	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_gregariomyces
Agaricus_heinemannianus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_heinemannianus
Agaricus_huijsmanii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_huijsmanii
Agaricus_iranicus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_iranicus
Agaricus_jacobi	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_jacobi
Agaricus_karstomyces	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_karstomyces
Agaricus_kerriganii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_kerriganii
Agaricus_leucolepidotus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_leucolepidotus
Agaricus_lusitanicus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_lusitanicus
Agaricus_luteofibrillosus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_luteofibrillosus
Agaricus_luteomaculatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_luteomaculatus
Agaricus_malangelus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_malangelus
Agaricus_marisae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_marisae
Agaricus_martinicensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_martinicensis
Agaricus_matrum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_matrum
Agaricus_megalosporus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_megalosporus
Agaricus_microvolvatulus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_microvolvatulus
Agaricus_nigrogracilis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_nigrogracilis
Agaricus_padanus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_padanus
Agaricus_pallens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pallens
Agaricus_pallidobrunneus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pallidobrunneus
Agaricus_parvibicolor	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_parvibicolor
Agaricus_parvibrunneus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_parvibrunneus
Agaricus_pseudolutosus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pseudolutosus
Agaricus_pseudominipurpureus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pseudominipurpureus
Agaricus_purpurellus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_purpurellus
Agaricus_pusillobulbosus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pusillobulbosus
Agaricus_rufoaurantiacus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_rufoaurantiacus
Agaricus_silvaticus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_silvaticus
Agaricus_sinodeliciosus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_sinodeliciosus
Agaricus_sinoplacomyces	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_sinoplacomyces
Agaricus_sodalis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_sodalis
Agaricus_subrutilescens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_subrutilescens
Agaricus_tibetensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_tibetensis
Agaricus_trisulphuratus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_trisulphuratus
Agaricus_tytthocarpus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_tytthocarpus
Agaricus_variicystis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_variicystis
Agaricus_xanthodermus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_xanthodermus
Agaricus_yanzhiensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_yanzhiensis
Agrocybe_praecox	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	Agrocybe praecox
Aigialus_grandis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Aigialaceae	Aigialus	Aigialus grandis
Aigialus_mangrovis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Aigialaceae	Aigialus	Aigialus_mangrovis
Aigialus_parvus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Aigialaceae	Aigialus	Aigialus parvus
Aigialus_rhizophorae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Aigialaceae	Aigialus	Aigialus_rhizophorae
Ainoa_mooreana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Lecanoromycetes	Baeomycetales	Baeomycetaceae	Ainoa	Ainoa mooreana
Akanthomyces_araneogenum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces	Akanthomyces araneogenum
Akanthomyces_cinereus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Hevansia	Hevansia cinerea
Akanthomyces_muscarius	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces	Akanthomyces muscarius
Akanthomyces_novoguineensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Hevansia	Hevansia novoguineensis
Akanthomyces_tuberculatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces	Akanthomyces tuberculatus
