"Counts","Species","Sample"
96000,"Candida_albicans","MB2.1_Mock"
1000,"Aspergillus_fumigatus","MB2.1_Mock"
1000,"Penicillium_rubens","MB2.1_Mock"
1000,"Cryptococcus_neoformans","MB2.1_Mock"
1000,"Rhizopus_arrhizus","MB2.1_Mock"
