"Counts","Species","Sample"
92000,"Cryptococcus_neoformans","MD1.1_Mock"
2000,"Aspergillus_fumigatus","MD1.1_Mock"
2000,"Penicillium_rubens","MD1.1_Mock"
2000,"Candida_albicans","MD1.1_Mock"
2000,"Candida_parapsilosis","MD1.1_Mock"
