"Counts","Species","Sample"
920,"Candida_albicans","MB5.1_Mock"
20,"Aspergillus_fumigatus","MB5.1_Mock"
20,"Penicillium_rubens","MB5.1_Mock"
20,"Cryptococcus_neoformans","MB5.1_Mock"
20,"Rhizopus_arrhizus","MB5.1_Mock"
