"Counts","Species","Sample","Proportional_counts"
86000,"Penicillium_rubens","MG1.1_Mock",0.86
2000,"Aspergillus_fumigatus","MG1.1_Mock",0.02
2000,"Aspergillus_fumigatiaffinis","MG1.1_Mock",0.02
2000,"Candida_glabrata","MG1.1_Mock",0.02
2000,"Aspergillus_penicillioides","MG1.1_Mock",0.02
2000,"Fusarium_oxysporum","MG1.1_Mock",0.02
2000,"Candida_auris","MG1.1_Mock",0.02
2000,"Aspergillus_flavus","MG1.1_Mock",0.02
