"Counts","Species","Sample","Proportional_counts"
93000,"Aspergillus_fumigatus","MI2.1_Mock",0.93
1000,"Aspergillus_niger","MI2.1_Mock",0.01
1000,"Lomentospora_prolificans","MI2.1_Mock",0.01
1000,"Candida_inconspicua","MI2.1_Mock",0.01
1000,"Aspergillus_fumigatiaffinis","MI2.1_Mock",0.01
1000,"Aspergillus_fischeri","MI2.1_Mock",0.01
1000,"PjTEF","MI2.1_Mock",0.01
1000,"Candida_glabrata","MI2.1_Mock",0.01
