"Counts","Species","Sample"
1840,"Penicillium_rubens","MC4.1_Mock"
40,"Candida_albicans","MC4.1_Mock"
40,"Aspergillus_fumigatus","MC4.1_Mock"
40,"Cryptococcus_neoformans","MC4.1_Mock"
40,"Aspergillus_terreus","MC4.1_Mock"
