"Counts","Species","Sample","Proportional_counts"
920,"Candida_albicans","MB5.1_Mock",0.92
20,"Aspergillus_fumigatus","MB5.1_Mock",0.02
20,"Penicillium_rubens","MB5.1_Mock",0.02
20,"Cryptococcus_neoformans","MB5.1_Mock",0.02
20,"Rhizopus_arrhizus","MB5.1_Mock",0.02
